Mini,Mwd,cooling_age_yr,logTe,logL,Umag,Bmag,Vmag,Rmag,Imag
2.3201215363,0.6468932474567,12756041.428235888,4.450677856871051,-0.9894346100732506,8.740329770622987,9.879395088762044,10.075064611847587,10.21594933918755,10.381716989370954
2.4272979071641023,0.6585754718808872,137268406.831738,4.243279775020837,-1.8784301155570091,10.23147363783517,11.069276253635818,11.084424816652756,11.185275464199194,11.28494416760087
2.534474278028205,0.6702576963050744,238666352.33192492,4.1754668267786945,-2.17068634750442,10.723425868448015,11.457391995151358,11.396672552307733,11.482103539677768,11.554079372926703
2.6416506488923073,0.6819399207292616,325172571.6742847,4.134673231356309,-2.3505854213305653,11.009242581512892,11.7039316097915,11.597100951473683,11.664775999271027,11.714437526366565
2.74882701975641,0.6936221451534488,399636209.16732943,4.107205891831495,-2.4748878766140447,11.17424345853448,11.859601446915772,11.730339435658255,11.781897764010457,11.814880907433315
2.8560033906205127,0.7053043695776359,463732225.01337445,4.088321963968178,-2.5639913303917212,11.297827027649024,11.980869869879635,11.83821735011023,11.876085088112122,11.894952826114013
2.963179761484615,0.7169865940018231,519184014.6387474,4.075164530478735,-2.6295457860018665,11.40322628998519,12.08466442533682,11.932861431791293,11.959691743417858,11.966924797887584
3.0703561323487176,0.7286688184260102,567114056.523515,4.066033111228197,-2.678498698434633,11.488189002871502,12.16962310599746,12.011725245494741,12.03003344693622,12.028268634411647
3.17753250321282,0.7403510428501974,608548783.8523355,4.059847517820635,-2.715445454276201,11.556000730676853,12.23879594078783,12.076469572531007,12.088577939732197,12.080905873105412
3.284708874076923,0.7520332672743846,643995264.3856659,4.055940648593205,-2.7430722208583376,11.609210014956062,12.293346521116144,12.127862962476195,12.136458306798954,12.123980174625533
3.3918852449410255,0.7637154916985718,674569524.3399296,4.053640267167366,-2.7639344981449474,11.650149166897165,12.33576215620775,12.168345199191489,12.17522986362436,12.159776907020936
3.499061615805128,0.775397716122759,701590087.7921733,4.052638949049031,-2.7795793997517544,11.683515477607557,12.371646512724586,12.203437889868198,12.209078713890431,12.192229823620472
3.6062379866692305,0.7870799405469462,725577462.6597927,4.052820793322,-2.7908601041957026,11.712368552168739,12.4040578092638,12.235974824603666,12.24015789688459,12.223583813357354
3.713414357533333,0.7987621649711333,746865847.4119225,4.053736744386611,-2.799083138967907,11.734788213860822,12.430350002962577,12.262839930613174,12.266890394303795,12.250617681537648
3.820590728397436,0.8104443893953206,765750633.8321265,4.055265934890889,-2.8047537386198087,11.751732879486394,12.451382082047829,12.284805437039367,12.289790372699963,12.273984227249374
3.9277670992615383,0.8221266138195077,782791586.3078573,4.057276714133478,-2.808493097322301,11.764685194995133,12.46836070656563,12.302794332381087,12.309376987102086,12.294895319107141
4.034943470125641,0.8338088382436948,798115779.6168604,4.059707366748755,-2.810523400077891,11.77434997590005,12.481829245775296,12.317352724717663,12.326291557741444,12.31369616770699
4.142119840989743,0.845491062667882,811583742.8739705,4.062543660385296,-2.810879770685616,11.78016696227599,12.49146031553319,12.328178307800894,12.339981837216985,12.329959588397793
4.249296211853846,0.8571732870920692,823932131.3348801,4.0656474497322845,-2.8101141856704808,11.78379578186367,12.49871693208431,12.336843115264525,12.351702017466662,12.34441653358356
4.356472582717949,0.8688555115162564,835043062.1529748,4.069017957659285,-2.808239849129419,11.785080285177242,12.503562626969535,12.343233174084094,12.361413346394652,12.357182245689346
4.463648953582052,0.8805377359404436,845173203.4188147,4.072912780172287,-2.8055365910829533,11.79357176259801,12.516893055164157,12.358539383991578,12.379112421418107,12.377007274622564
4.570825324446154,0.8922199603646308,854263505.5503762,4.07704290670998,-2.802018492813809,11.801034479707305,12.529420122434171,12.373220449728738,12.396369691261741,12.396577779331228
4.678001695310256,0.9039021847888179,862603998.2012644,4.081322667954755,-2.7979025637371895,11.80693386003302,12.540439732729576,12.38654687929225,12.412427568191463,12.415292053806608
4.785178066174359,0.9155844092130051,870249317.9872632,4.0857294204458245,-2.793233906652591,11.811482832898452,12.550380595796574,12.398836866989674,12.427615812941646,12.43347447954366
4.8923544370384615,0.9272666336371923,877253703.2940041,4.090251504527502,-2.7880660293743103,11.814712461787154,12.559281000775902,12.410077081627819,12.441899320346916,12.450996425771859
4.999530807902564,0.9389488580613795,883652164.7965486,4.094884723855618,-2.7824440791832203,11.816739482557171,12.567096351380771,12.420275938252317,12.455273331407529,12.467792360234114
5.1067071787666665,0.9506310824855667,889610257.381072,4.099610054502728,-2.7765062626322083,11.818043348361567,12.5738887998744,12.429672810684641,12.467941222758936,12.483829873929274
